id,title,url
102,"How to Paint a Portrait in Gouache | Step by Step!",https://youtube.com/watch?v=xAhyjlaP3EE&list=WL&index=102&pp=gAQBiAQB
103,"3 Great ADV Stand Up Steering Exercises| Adventure Motorcycle Riding Tip",https://youtube.com/watch?v=b80aydUPpOc&list=WL&index=103&pp=gAQBiAQB
104,"Adidas sent me to Coachella",https://youtube.com/watch?v=I64dYEkNvSQ&list=WL&index=104&pp=gAQBiAQB
105,"How to Paint an EXCELLENT Focal Point",https://youtube.com/watch?v=HhQFBiQZHZc&list=WL&index=105&pp=gAQBiAQB
106,"Bonobo | Boiler Room x DGTL Amsterdam 2023",https://youtube.com/watch?v=rFRQ0VC1uX8&list=WL&index=106&pp=gAQBiAQB
107,"How to Avoid Muddy Colors in Watercolor",https://youtube.com/watch?v=mjCitkGHRcw&list=WL&index=107&pp=gAQBiAQB
108,"Timeless photography lessons from Josef Koudelka",https://youtube.com/watch?v=BOz6n-E7K0M&list=WL&index=108&pp=gAQBiAQB
109,"20 Minute Guided Meditation with Jon Kabat-Zinn PhD",https://youtube.com/watch?v=1H2Cgc60UlU&list=WL&index=109&pp=gAQBiAQB
110,"How to build an Archive as a Street Photographer",https://youtube.com/watch?v=jQ3L9jacu-c&list=WL&index=110&pp=gAQBiAQB
111,"When I'm in a Landscape Drawing Mood, THIS is a Favorite Technique.",https://youtube.com/watch?v=FdTCQ4ehtWQ&list=WL&index=111&t=655s&pp=gAQBiAQB
112,"How to Build a Product that Scales into a Company",https://youtube.com/watch?v=r-98YRAF1dY&list=WL&index=112&pp=gAQBiAQB
113,"How stretching actually changes your muscles - Malachy McHugh",https://youtube.com/watch?v=g1pb2aK2we4&list=WL&index=113&pp=gAQBiAQB
114,"What are all the TYPES of Street Photography you can do?",https://youtube.com/watch?v=qZdpyzUEPzQ&list=WL&index=114&pp=gAQBiAQB
115,"The BEST Way to Sleep Next to Your Motorcycle: Solo Hammock Camping!",https://youtube.com/watch?v=ik6rNa-XHSc&list=WL&index=115&pp=gAQBiAQB
116,"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367",https://youtube.com/watch?v=L_Guz73e6fw&list=WL&index=116&pp=gAQBiAQB
117,"How To Film Like a PRO!",https://youtube.com/watch?v=YxnQaGiHlF4&list=WL&index=117&pp=gAQBiAQB
118,"How Does Kodak Make Film? (Kodak Factory Tour Part 1 of 3) - Smarter Every Day 271",https://youtube.com/watch?v=HQKy1KJpSVc&list=WL&index=118&pp=gAQBiAQB
119,"Building Chords Made Simple | Easy Major & Minor Chord Theory",https://youtube.com/watch?v=KoeJgh0elzM&list=WL&index=119&pp=gAQBiAQB
120,"What Is Consciousness? Philosopher Explains The Nature of Reality | Rich Roll Podcast",https://youtube.com/watch?v=D_f26tSubi4&list=WL&index=120&pp=gAQBiAQB
121,"San Francisco to LA | A Bikepacking Journey Along the Coast",https://youtube.com/watch?v=siWDebEdmOQ&list=WL&index=121&pp=gAQBiAQB
122,"EASY Creative Tips for Filming Yourself !",https://youtube.com/watch?v=ZIkXB6_azYo&list=WL&index=122&pp=gAQBiAQB
123,"How He Started a Coffee Business (With $1,800)",https://youtube.com/watch?v=HPq05GXUgL8&list=WL&index=123&pp=gAQBiAQB
124,"Ab-Soul: Tiny Desk Concert",https://youtube.com/watch?v=KgDPEW_ypj8&list=WL&index=124&pp=gAQBiAQB
125,"Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance | Huberman Lab Podcast #54",https://youtube.com/watch?v=GLgKkG44MGo&list=WL&index=125&pp=gAQBiAQB
